name,state_code,status,target_failure,funding_rounds,funding_total_usd,milestones,relationships,is_top500,has_VC,has_roundA,has_roundB,age_first_funding_year,age_last_funding_year,pred_failure_prob_rf,risk_bucket_rf
Amobee,CA,acquired,0,6,72000000,2,25,1,1,1,1,1.5041,5.8356,0.16586714419003729,Low
KOTURA,CA,acquired,0,3,27690547,1,4,1,0,0,1,1.6849,5.8493,0.11771152282578401,Low
Auvitek International,TX,closed,1,1,9000000,0,32,1,0,0,1,2.189,2.189,0.5606289527516195,Medium
Outright,CA,acquired,0,2,7500000,3,12,1,0,1,0,0.4192,1.4658,0.0741612883410104,Low
Phurnace Software,TX,acquired,0,2,10000000,1,9,1,0,1,0,0.6932,1.4986,0.29033225116190486,Low
FastSoft,CA,acquired,0,4,5965000,1,7,0,1,1,0,1.4411,6.6795,0.2332150214424342,Low
GrandCentral,CA,acquired,0,1,4000000,4,9,0,0,1,0,-0.2466,-0.2466,0.4118798983169569,Medium
Speedshape,MI,closed,1,1,5000000,1,2,0,1,0,0,5.1397,5.1397,0.7598310842815712,High
BlueLithium,CA,acquired,0,1,11500000,2,15,1,0,1,0,1.0877,1.0877,0.14752748516222533,Low
Media Chaperone,IL,closed,1,2,1050000,1,2,0,1,0,0,1.0356,2.1479,0.7956368270902968,High
Giant Realm,NY,acquired,0,2,5500000,2,13,1,0,1,0,1.1644,1.3507,0.09905655191732667,Low
Invite Media,PA,acquired,0,3,5000000,4,17,1,0,1,0,0.8301,2.8329,0.09874263992516673,Low
UpMo,CA,closed,1,2,3700000,3,11,0,1,0,0,-1.0521,0.6247,0.41886269689750666,Medium
Appscio,CA,closed,1,2,7000000,0,4,0,0,1,0,1.2137,3.0082,0.47387202382880333,Medium
Eons,MA,closed,1,2,32000000,4,14,1,0,1,1,1.2466,2.1616,0.13881619657226915,Low
LocaModa,MA,acquired,0,3,7900000,2,8,0,0,1,0,0.7123,4.2301,0.24289529190444578,Low
Meraki,CA,acquired,0,5,80000000,3,16,1,0,1,1,0.6685,6.2795,0.0790324612358896,Low
MPOWER Mobile,TX,closed,1,1,5000000,1,1,1,1,0,0,4.8247,4.8247,0.707294963148769,High
Haute Secure,WA,acquired,0,2,2100000,3,5,1,0,1,0,1.0,3.1863,0.20403089247057157,Low
Intelliworks,MD,acquired,0,4,22250000,1,6,1,0,1,1,0.2055,4.3973,0.13502843500066522,Low
Meridian,OR,acquired,0,2,1975000,2,6,0,1,0,0,0.5397,1.5014,0.3099490932299867,Low
Kluster,NY,acquired,0,1,1000000,2,0,1,0,0,0,0.0,0.0,0.7121092789692549,High
International Battery,PA,closed,1,1,35000000,0,0,0,0,0,0,2.3452,2.3452,0.8093426485796199,High
Jingle Networks,NY,acquired,0,7,88651133,5,12,1,1,1,1,0.0822,4.3260000000000005,0.14591279118550454,Low
SemEquip,MA,acquired,0,1,26000000,0,3,1,1,0,0,5.5945,5.5945,0.2562738112983138,Low
ItsGoinOn,CA,closed,1,1,100000,2,3,0,0,0,0,0.6712,0.6712,0.8192214181877905,High
mSnap,CO,acquired,0,1,5000000,3,6,1,0,1,0,1.0,1.0,0.2109535065042377,Low
Biofisica,GA,closed,1,2,7300000,0,5,1,1,1,0,6.8356,8.3096,0.6059883373125653,Medium
Ardian,CA,acquired,0,3,64080000,2,8,1,0,1,1,2.0027,6.2274,0.223700974917287,Low
Tracelytics,RI,acquired,0,2,5800000,2,8,1,0,1,0,1.3425,1.726,0.20432738863376756,Low
Canopy Financial,CA,closed,1,4,89500000,2,6,1,0,0,1,4.0027,5.7534,0.438552637585312,Medium
Kyte,CA,acquired,0,4,23350000,2,11,1,0,1,1,0.5808,5.2521,0.06848738541728942,Low
Ounce Labs,MA,acquired,0,2,13500000,0,7,1,1,0,0,3.6877,5.9644,0.2493278466669434,Low
Crossbeam Systems,MA,acquired,0,2,24500000,2,13,1,0,0,0,7.3534,8.126,0.13734449864610004,Low
PacketHop,CA,closed,1,1,10000000,1,2,1,0,0,0,3.6027,3.6027,0.6584260282706732,Medium
Inaura,UT,closed,1,1,8500000,0,3,0,1,0,0,-1.9863,-1.9863,0.8107734394238462,High
DynaPump,TX,closed,1,1,6000000,0,0,0,0,0,1,16.4192,16.4192,0.8736005742675931,High
Immunet Corporation,CA,acquired,0,1,2000000,1,3,1,0,1,0,1.337,1.337,0.4469963990499862,Medium
CopperEgg Corporation,TX,acquired,0,2,4100000,2,3,1,0,1,0,1.1123,1.937,0.47315442469621977,Medium
Wink,CA,acquired,0,1,6200000,4,5,1,0,1,0,0.3699,0.3699,0.21986757971157606,Low
PopularMedia,CA,acquired,0,2,12250000,1,8,1,0,0,1,4.0877,5.5753,0.10627530910756612,Low
Miyowa,CA,acquired,0,2,11725600,2,3,1,0,1,1,3.3945,5.0712,0.17270584422432295,Low
Intrusic,MA,closed,1,2,16000000,0,1,1,0,1,1,4.3151,5.8301,0.45931663445429316,Medium
Dashwire,WA,acquired,0,3,5056559,2,10,1,1,1,0,2.4767,4.3836,0.2101817333083403,Low
Reddit,CA,acquired,0,1,100000,3,9,1,0,0,0,0.4137,0.4137,0.3795687641000611,Medium
Pure Digital Technologies,CA,acquired,0,3,68200000,3,11,1,1,0,0,2.3342,6.9671,0.10940164493155749,Low
Voxify,CA,acquired,0,3,33000000,1,5,1,1,0,1,4.0877,9.3068,0.14047255776622192,Low
EvoApp,NC,closed,1,3,3352194,2,8,0,0,1,0,1.7863,3.3014,0.505368122380223,Medium
Visual Revenue,NY,acquired,0,2,2212000,2,5,1,0,1,0,1.4082,1.9068,0.2050318278141522,Low
Calibra Medical,CA,acquired,0,4,19800000,0,1,1,1,0,0,5.9014,7.2904,0.4275928077590683,Medium
Offermatic,CA,closed,1,2,4500000,2,6,1,0,1,0,0.8301,1.0986,0.3560399186672782,Medium
HiWired,MA,acquired,0,2,14000000,1,2,1,1,0,1,4.0027,4.0055,0.4175396913904862,Medium
DateMyFamily.com,FL,closed,1,1,100000,2,4,0,0,0,0,0.0548,0.0548,0.795880218000734,High
Hyperic,CA,acquired,0,2,9900000,2,4,1,0,1,1,2.3562,3.4274,0.2117293609058739,Low
Optimal,CA,acquired,0,3,7600000,2,10,1,0,1,1,0.0,5.063,0.06604793182431107,Low
SendMeHome.com,CA,closed,1,1,50000,1,2,0,0,0,0,0.0,0.0,0.9270666119572684,High
Q-magic,CA,closed,1,1,650000,0,3,0,0,0,0,-0.0849,-0.0849,0.8372327737419524,High
Geodelic Systems,CA,closed,1,3,10500000,3,8,1,1,1,1,0.9178,2.7288,0.3597280769772187,Medium
BlockBeacon,CA,acquired,0,1,500000,2,12,0,0,0,0,0.4712,0.4712,0.47201971376213087,Medium
PostPath,CA,acquired,0,2,24300000,3,2,1,0,0,1,1.9342,4.0438,0.30544092314392396,Low
Attune Systems,CA,closed,1,2,18000000,1,6,1,1,0,1,7.4904,7.874,0.4983222214186761,Medium
TokBox,CA,acquired,0,3,26000000,5,27,1,0,1,1,0.6548,3.5452,0.07591326394154774,Low
Avega Systems,CA,closed,1,2,9500000,0,2,1,1,0,1,2.2466,5.0356,0.7466356832311811,High
Heartscape,MD,acquired,0,1,16980999,1,6,1,0,0,1,7.3151,7.3151,0.16407999974821025,Low
PeerMe,CA,closed,1,1,5000000,2,2,0,0,1,0,1.0027,1.0027,0.7722686413651885,High
Pacinian,WA,closed,1,1,350000,0,3,0,1,0,0,1.6712,1.6712,0.8359681191564212,High
neoSaej,MA,closed,1,5,13130000,1,1,1,1,1,0,1.2384,4.9726,0.6253309091180633,Medium
Kiha Software,WA,closed,1,1,20000000,2,1,0,0,1,0,2.8247,2.8247,0.7166004917892989,High
Vlingo,MA,acquired,0,3,26500000,4,18,1,1,1,1,0.5014,3.2959,0.11657937588196948,Low
Tizor Systems,MA,acquired,0,2,15000000,0,4,1,0,0,1,3.6986,4.1041,0.2038513471524907,Low
Cerona Networks,MD,closed,1,1,2600000,0,0,0,0,1,0,4.3041,4.3041,0.8842285674642331,High
Oorja Protonics,CA,closed,1,4,21470000,0,1,1,0,1,1,2.3973,6.0329,0.5743864254821381,Medium
Hurricane Party,TX,closed,1,1,20000,2,5,0,0,0,0,0.0,0.0,0.8413394114620172,High
Minekey,CA,closed,1,2,3600000,3,10,0,0,1,0,1.9151,2.5808,0.22847512860159994,Low
Blip,NY,acquired,0,7,27300000,4,23,1,0,1,1,0.8329,7.2521,0.11277392323973892,Low
Fabkids,CA,acquired,0,1,2600000,1,8,0,0,1,0,0.5863,0.5863,0.49087550128843455,Medium
CafeBots,CA,closed,1,1,5000000,2,5,1,0,1,0,0.8027,0.8027,0.513970951728317,Medium
Avaak,CA,acquired,0,2,17000000,2,2,1,0,1,1,4.7589,6.2247,0.3986518763979898,Medium
Newfield Design,ME,closed,1,1,662000,0,0,0,0,1,0,4.3699,4.3699,0.892417169301248,High
Savored,NY,acquired,0,2,3750000,2,12,1,0,1,0,0.0,1.0247,0.11373401350674167,Low
Digg,CA,acquired,0,4,45000000,8,57,1,0,1,1,0.9726,6.7534,0.10477809399255035,Low
Songza,NY,acquired,0,2,6700000,4,9,1,1,0,0,3.8849,5.863,0.13743493993400213,Low
Bigfoot Networks,CA,acquired,0,3,20750000,2,12,1,1,1,1,0.1753,3.8795,0.11879233881019086,Low
Kongregate,CA,acquired,0,4,19000000,0,5,1,0,1,1,1.1616,7.5041,0.19183504149074632,Low
Powerset,CA,acquired,0,3,22500000,0,20,1,1,1,0,-0.4192,0.6658,0.2868920361767333,Low
Kiptronic,CA,acquired,0,3,7300000,3,10,1,0,1,1,0.5041,3.0986,0.06098231955354708,Low
Cozi Group,WA,closed,1,7,26390819,3,16,1,1,1,1,0.7479,7.8247,0.3352925561040097,Medium
Likewise Software,WA,acquired,0,1,10000000,0,4,1,0,0,0,4.4959,4.4959,0.36175631669743624,Medium
Lifestander,NY,closed,1,1,31000,1,1,0,0,0,0,0.0849,0.0849,0.9133610623513048,High
Jaxtr,CA,acquired,0,3,21500000,4,16,1,0,1,1,1.7479,2.7288,0.05272760462522537,Low
MX Logic,CO,acquired,0,1,4000000,1,5,1,0,0,0,4.8521,4.8521,0.21347260629212864,Low
Metaplace,CA,acquired,0,3,9400000,4,5,1,1,1,1,0.5041,3.7068,0.22786338428784333,Low
TravelMuse,NY,acquired,0,3,5600000,4,9,1,0,1,1,0.0411,2.1288,0.06907257635735439,Low
Jambool,CA,acquired,0,2,6000000,2,9,1,0,1,1,2.0027,3.0466,0.09660580592635565,Low
Zipcar,GA,acquired,0,4,60704370,3,35,1,1,0,1,2.137,10.1288,0.19772638160867914,Low
Hitpost,CA,acquired,0,3,2000000,2,16,1,0,0,0,0.7534,3.0712,0.1342332328949273,Low
Home-Account,CA,acquired,0,2,1000000,3,5,1,1,1,0,0.4548,0.7041,0.2664776984095314,Low
PayParade Pictures,PA,closed,1,2,200000,2,3,1,0,1,0,1.126,1.4055,0.6154046059696888,Medium
Planet Metrics,CA,closed,1,1,2300000,2,2,1,0,1,0,1.8658,1.8658,0.6877245425531604,High
kwiry,CA,closed,1,1,1000000,4,5,1,0,1,0,2.2164,2.2164,0.3969853257399499,Medium
imeem,CA,acquired,0,5,24750000,3,13,1,1,1,1,0.8356,5.7534,0.08770722250443852,Low
Amadesa,IL,closed,1,2,12800000,1,15,1,0,1,1,2.5534,6.3945,0.31317848534544057,Low
Cast Iron Systems,CA,acquired,0,2,30500000,1,10,1,0,0,0,4.2384,6.5753,0.1414376587783546,Low
Aptera,CA,closed,1,3,36300000,2,3,1,1,0,0,5.5671,8.5342,0.27948407040129986,Low
RentJuice,CA,acquired,0,3,6693782,3,7,1,1,0,0,2.1726,3.0849,0.2146502327330705,Low
Verari Systems,CA,closed,1,1,20000000,0,1,1,0,0,0,11.4329,11.4329,0.8226093612219456,High
Parascale,CA,acquired,0,1,11370000,3,8,1,0,1,0,3.4767,3.4767,0.14669315225098858,Low
Geni,CA,acquired,0,3,16500000,4,13,1,0,1,1,0.5863,2.6384,0.06358937558401788,Low
Zentact,CA,closed,1,1,250000,1,3,0,0,0,0,0.0,0.0,0.861492143629196,High
Outside.in,NY,acquired,0,5,14400000,5,9,1,0,1,1,0.5041,3.3562,0.08674217679629123,Low
Salesforce Buddy Media,NY,acquired,0,5,90000000,3,24,1,1,1,1,0.0,3.9562,0.10637285920312149,Low
Vizu Corporation,CA,acquired,0,4,13075000,2,10,1,0,1,1,1.0164,7.1534,0.08570212447970241,Low
Zing Systems,CA,acquired,0,2,26000000,4,10,1,0,1,0,-0.4986,-0.4137,0.15820930369411335,Low
DynamicOps,MA,acquired,0,2,16300000,2,6,1,0,0,1,3.1616,3.6904,0.11044496211422104,Low
Movero Technology,TX,acquired,0,2,5992316,1,5,0,1,1,0,4.4521,7.2274,0.3348874008937404,Medium
Elevation Pharmaceuticals,CA,acquired,0,4,89400001,0,2,1,1,1,1,3.0575,5.011,0.5818771392831175,Medium
Punch Entertainment,CA,closed,1,1,1200000,1,4,0,0,1,0,0.8027,0.8027,0.6375001921752659,Medium
Stickybits,NY,closed,1,2,1900000,2,7,1,0,1,0,1.1836,1.3781,0.3259891915269508,Low
Ecast,CA,closed,1,3,30300000,2,9,1,1,0,0,9.3534,12.4055,0.765935631659909,High
lifeIO,NY,closed,1,1,500000,0,4,0,0,0,0,2.0027,2.0027,0.5698118346484419,Medium
EdgeCast Networks,CA,acquired,0,5,74000000,2,19,1,0,1,1,0.0,6.9671,0.13037729243410906,Low
Sirific Wireless,TX,acquired,0,1,18800000,0,3,1,0,0,0,7.1205,7.1205,0.4707573165105907,Medium
Revetto,MI,closed,1,1,20000,1,3,0,0,0,0,0.3288,0.3288,0.8658688175534159,High
ZoomSafer,VA,acquired,0,4,3350000,2,3,0,0,1,1,0.1616,2.1781,0.32115026101468486,Low
AkaRx,NJ,acquired,0,1,26100000,0,1,1,1,0,0,5.0192,5.0192,0.4085228779898763,Medium
Lama Lab,PA,closed,1,2,1213066,0,0,1,1,0,0,1.411,2.5151,0.8299057873527909,High
Buysight,CA,acquired,0,3,24030000,3,18,1,0,1,1,0.8438,4.2219,0.042061170483406414,Low
TripIt,CA,acquired,0,3,13100000,5,14,1,0,0,1,0.4986,3.4247,0.10303158920761753,Low
Pinch Media,NY,acquired,0,3,560001,5,6,1,1,0,0,0.0822,1.7671,0.36863242640094357,Medium
Enstratius,MN,acquired,0,1,3500000,3,7,1,0,1,0,2.8493,2.8493,0.19129770806916802,Low
Jumptap,MA,acquired,0,7,121500000,3,45,1,1,1,1,0.1616,7.5041,0.20231395072719047,Low
WiChorus,CA,acquired,0,4,42500000,1,18,1,1,1,1,0.9726,3.8438,0.08912285671515399,Low
Hatteras Networks,NC,acquired,0,2,36000000,1,26,1,1,0,0,5.4384,6.4192,0.2269610028946809,Low
Focus,CA,closed,1,1,12170000,2,7,1,0,0,0,2.5973,2.5973,0.34993821300541517,Medium
easy2comply (Dynasec),NY,acquired,0,1,1000000,2,4,1,0,1,0,5.7534,5.7534,0.2568185168878473,Low
Socialize,CA,acquired,0,3,1820000,4,5,0,0,0,0,3.337,3.937,0.20801556177120098,Low
Clearwire,WA,acquired,0,4,5700000000,2,19,1,0,0,0,4.6,9.4164,0.1400778609780429,Low
CREDANT Technologies,TX,acquired,0,1,5000000,2,6,1,0,0,0,6.9699,6.9699,0.36241102603370406,Medium
Exclusively.in,NY,acquired,0,2,18800000,1,4,1,0,1,1,0.8384,1.4055,0.1461882154130405,Low
Avidia,CA,acquired,0,2,72300000,0,3,1,0,0,1,2.3452,3.3534,0.40755592153821096,Medium
PayDivvy,CA,acquired,0,3,1310000,4,3,0,0,0,0,-0.1369999999999999,3.1452,0.2852444947563049,Low
Octavian,MA,closed,1,2,15000000,1,2,1,0,1,1,2.4164,4.7753,0.395663055811274,Medium
KickApps,NY,acquired,0,3,39007789,5,22,1,0,1,1,2.2521,4.7397,0.1089761755503297,Low
Airwide Solutions,MA,acquired,0,1,25000000,1,3,1,0,0,0,2.0685,2.0685,0.22492616505871615,Low
Localocracy,MA,acquired,0,3,172500,2,4,0,0,0,0,0.3288,2.0932,0.39488486229847075,Medium
Pixable,NY,acquired,0,2,6100000,2,23,1,0,1,1,1.6658,2.1123,0.09119350502307304,Low
mFoundry,CA,acquired,0,3,40300000,5,7,1,1,0,1,2.2192,7.9315,0.16242996267691534,Low
Bevvy,CA,closed,1,1,100000,3,9,0,0,0,0,0.3616,0.3616,0.6754217593948465,High
Livemocha,WA,acquired,0,5,19389998,2,14,1,1,1,1,0.3342,5.4904,0.16762503182303432,Low
IronPort Systems,CA,acquired,0,2,61500000,3,21,1,0,0,1,2.4822,4.8192,0.1737637759158624,Low
Crowdcast,CA,acquired,0,1,6000000,2,6,1,0,1,0,3.4411,3.4411,0.27944627004306466,Low
Where,MA,acquired,0,4,19100000,6,23,1,0,1,1,-0.0027,5.0055,0.1251761765657583,Low
Pictela,NY,acquired,0,4,3499997,3,8,1,1,1,0,0.2219,2.0548,0.269446015131543,Low
Grouply,CA,acquired,0,3,2600000,2,13,1,0,1,0,1.2521,1.874,0.09762690060832653,Low
Storify,CA,acquired,0,3,2023000,2,14,1,0,1,0,-0.4466,1.1479,0.118054645807235,Low
Axiom Microdevices,CA,acquired,0,1,25000000,0,3,1,1,0,0,5.1068,5.1068,0.3892711722948398,Medium
ShoeDazzle,CA,acquired,0,4,66000000,4,17,1,1,1,1,0.7205,3.5945,0.08737748228713679,Low
LiftDNA,NY,acquired,0,2,1000000,1,5,0,0,0,0,1.4192,1.4466,0.26386735110570736,Low
Onavo,CA,acquired,0,2,13000000,2,11,1,0,1,1,1.3288,2.063,0.0664447291397911,Low
Pyxis Mobile,MA,closed,1,3,24150000,2,3,1,1,1,1,7.6932,14.0329,0.6872077975079933,High
Link_A_Media Devices,CA,closed,1,3,47218498,0,4,1,1,0,0,5.8411,8.2219,0.5320241204150804,Medium
Guardium,MA,acquired,0,2,11800000,2,1,1,0,0,0,3.6137,4.3753,0.2558164826214782,Low
Trooval,NV,closed,1,2,2387481,1,2,1,1,0,0,1.5973,2.1781,0.7694161240368302,High
Compete,MA,acquired,0,4,33000000,5,35,1,1,1,1,0.8356,7.5863,0.14844124982064913,Low
Rollstream,VA,acquired,0,2,7500000,3,4,1,0,1,1,2.6712,3.8822,0.24213734977190682,Low
NeoGuide Systems,CA,acquired,0,1,25000000,1,3,1,0,0,0,6.7479,6.7479,0.3248727546968402,Low
Accept Software,CA,acquired,0,4,25305000,1,7,1,1,1,1,3.7096,8.9562,0.19645695465817714,Low
Milo,CA,acquired,0,2,4950000,3,21,1,0,1,0,0.8356,1.8986,0.08188221349194097,Low
Mimosa Systems,CA,acquired,0,6,53816776,0,8,1,1,0,1,2.2712,6.3781,0.36632645494706606,Medium
Surphace,NY,acquired,0,2,3500000,4,15,1,0,1,1,-0.1671,0.9151,0.10016322947491409,Low
Cloudmeter,CA,acquired,0,1,5000000,2,7,0,0,1,0,5.0767,5.0767,0.3299229309799178,Low
Zecter,CA,acquired,0,3,2515000,3,9,1,1,1,0,0.0,2.5397,0.1635168409557944,Low
Dimdim,MA,acquired,0,2,8400000,3,10,1,0,1,1,1.0849,2.4986,0.07411934842386073,Low
TeleFlip,CA,closed,1,2,4900000,3,5,1,0,1,1,2.5836,4.0027,0.20221080445211276,Low
MessageGate,WA,closed,1,1,5000000,1,3,1,1,0,0,4.2959,4.2959,0.6132230913666692,Medium
Cloverleaf Communications,NY,acquired,0,1,11000000,0,2,1,0,0,0,4.4904,4.4904,0.44179615362110963,Medium
SkyPilot Networks,CA,acquired,0,4,68400000,0,6,1,1,1,0,1.0027,8.2548,0.25457842744633424,Low
Zencoder,CA,acquired,0,2,2000000,2,7,1,0,1,0,3.0877,4.2795,0.18268449303141432,Low
Storm Exchange,NY,closed,1,2,10800000,1,2,1,1,1,0,0.6685,1.926,0.5985653872264717,Medium
The Huffington Post,NY,acquired,0,5,37000000,3,31,1,1,1,1,-0.0219,5.2329,0.08459790766309737,Low
Exaprotect,CA,acquired,0,1,7660000,3,5,1,0,1,0,2.5233,2.5233,0.19790819891425762,Low
Akorri Networks,MA,acquired,0,4,48730000,3,5,1,1,1,1,0.3397,5.2247,0.17224017790114038,Low
Giiv,CA,closed,1,2,3350000,1,1,1,0,1,0,0.0,1.4137,0.5984674622496937,Medium
MyShape,CA,closed,1,4,28000000,2,3,1,1,0,1,3.8767,7.1973,0.3116064417038753,Low
BlackLocus,TX,acquired,0,1,2500000,1,5,1,0,1,0,1.4959,1.4959,0.5036902744590626,Medium
FeedBurner,IL,acquired,0,2,8000000,4,16,1,0,1,1,0.3315,1.1644,0.1550096941972498,Low
DailyBurn,NY,acquired,0,2,540000,2,6,1,0,0,0,0.5836,1.6521,0.31454767795039024,Low
CastTV,CA,acquired,0,2,3100000,4,4,1,0,1,0,0.0,1.2466,0.22329112072916815,Low
Venmo,NY,acquired,0,2,1200000,2,8,1,0,1,0,1.0904,2.326,0.23256376330100578,Low
WeShow,NY,closed,1,1,5000000,1,2,0,0,1,0,0.0,0.0,0.8388857535449141,High
SenSage,CA,acquired,0,6,37079000,1,6,1,1,0,0,0.6658,7.3753,0.19904493015978889,Low
Luminus Devices,MA,acquired,0,4,135826373,2,3,1,0,0,1,4.3315,11.1699,0.4280538410847006,Medium
Tapioca Mobile,CA,closed,1,2,5000000,0,5,1,1,0,0,-0.3342,0.2301,0.5716649885961593,Medium
BestVendor,NY,acquired,0,4,4200000,3,3,1,0,1,0,0.2082,1.0849,0.2480945988597875,Low
Local Marketers,WA,closed,1,1,4100000,3,3,1,1,0,0,3.5808,3.5808,0.4865833907593799,Medium
Eyeona,CA,closed,1,1,2000000,2,3,0,0,0,0,0.7726,0.7726,0.6302283235018749,Medium
ColdSpark,CO,acquired,0,1,6500000,1,3,1,1,0,0,5.0027,5.0027,0.29321944757621615,Low
Etology,CA,closed,1,1,4000000,0,0,0,0,1,0,1.4521,1.4521,0.8696786569162943,High
Wander (f. YongoPal),CA,closed,1,5,185000,1,3,1,1,0,0,0.2466,1.0,0.6538896784059689,Medium
CrowdCompass,OR,acquired,0,1,1300000,2,5,0,0,1,0,2.6959,2.6959,0.41564340044244863,Medium
Right Media,NY,acquired,0,1,45000000,0,21,0,0,0,1,3.7945,3.7945,0.34082049421470156,Medium
Goby,MA,acquired,0,1,2500000,3,4,1,0,1,0,2.3041,2.3041,0.18424466136970458,Low
FiveRuns,TX,acquired,0,2,9200000,2,11,1,0,1,1,0.5808,2.737,0.17101139054934364,Low
GeekStatus,CA,closed,1,4,435953,0,0,0,0,0,0,-1.4712,-0.1369999999999999,0.7963296682192509,High
MOLI,CT,closed,1,2,55600000,2,9,0,0,1,1,-1.0,0.0,0.6465001179630256,Medium
TrenStar,CO,acquired,0,1,10000000,1,2,0,1,0,0,6.263,6.263,0.48544835002854825,Medium
World Blender,WA,closed,1,1,12000,1,3,1,0,0,0,0.8329,0.8329,0.7965392530648528,High
Zymetis,MD,closed,1,2,2257464,0,3,0,1,0,0,4.0301,4.0849,0.7529510673628509,High
Dispatch,NY,acquired,0,2,983000,2,4,1,0,0,0,0.1671,0.5288,0.2356942761000938,Low
HauteLook,CA,acquired,0,2,41000000,2,15,1,0,0,1,1.4466,2.5068,0.15122948236117828,Low
Semantra,TX,closed,1,3,9100000,0,0,0,1,0,1,3.6685,5.5589,0.6848612089978733,High
Inertia Beverage Group,CA,closed,1,3,25500100,3,6,1,1,0,1,2.4438,7.1973,0.31682134796436157,Low
Sponge,CA,acquired,0,1,400000,2,3,1,0,0,0,0.2959,0.2959,0.44710167425203545,Medium
Genesis Networks,NY,acquired,0,10,22165091,0,4,1,1,0,1,4.737,8.3479,0.355858736752908,Medium
Mogad,CA,acquired,0,1,500000,2,4,1,0,1,0,0.1671,0.1671,0.31891938896689165,Low
Meebo,CA,acquired,0,5,70000000,4,29,1,0,1,1,0.6629999999999999,5.8849,0.10112179340634543,Low
Accertify,IL,acquired,0,2,4700000,1,6,1,1,1,0,1.2603,3.1781,0.26909291713706307,Low
N2N Commerce,MA,acquired,0,1,30000000,1,1,1,1,0,0,2.0055,2.0055,0.49367006926483836,Medium
StreamBase Systems,MA,acquired,0,5,39000000,1,13,1,0,0,1,2.0658,9.3836,0.16185151167385434,Low
Provigent,CA,acquired,0,3,32000000,1,10,1,0,0,0,6.4356,9.0,0.14363409351241274,Low
Navic Networks,MA,acquired,0,3,42000000,0,7,1,0,1,1,0.1151,1.1507,0.22191296098741334,Low
Integrien,CA,acquired,0,3,24510540,2,5,1,1,1,1,4.3726,9.3616,0.23655877091397548,Low
Generic Media,CA,closed,1,1,2500000,0,0,1,1,0,0,5.6548,5.6548,0.7825785120391597,High
Persystent Technologies,FL,acquired,0,3,21460663,2,1,1,0,0,1,3.6027,7.926,0.32890462904633605,Low
WireImage,NY,acquired,0,1,15000000,0,6,1,0,0,0,5.3507,5.3507,0.23233358717913313,Low
Hello Chair,CA,closed,1,2,889999,2,5,1,1,0,0,1.4137,4.2795,0.4668852534745529,Medium
Encentuate,CA,acquired,0,1,16000000,1,6,1,0,0,1,4.2219,4.2219,0.17167992995461237,Low
Consorte Media,CA,acquired,0,1,7000000,4,5,1,0,0,1,2.4192,2.4192,0.1794750210297804,Low
Triples Media,NY,closed,1,2,100000,0,3,0,0,0,0,0.7479,0.7479,0.7695490331582554,High
RightsFlow,NY,acquired,0,1,1500000,3,13,0,0,1,0,1.9041,1.9041,0.2556587732549329,Low
thePlatform,WA,acquired,0,1,8000000,4,19,1,1,0,0,6.0356,6.0356,0.15327019025939076,Low
Docstoc,CA,acquired,0,2,4000000,4,22,1,0,1,1,0.2521,0.7425,0.12869940049777326,Low
